"itch","n.痒 v.发痒"
"knit","v.编织，编结
v.（使）愈合
n.编织的衣服"
"instantiate","v.实例化"
"arbitrate","vi.仲裁，公断"
"apprentice","n.学徒，徒弟"
"stink","vi.散发出恶臭；发臭味
n.恶臭"
"fascist","a.法西斯主义的
n.法西斯主义者"
"incoherent","a.语无伦次的，思想不连贯的"
"fall down","倒塌；跌倒"
"slip","v.滑倒
n.滑；小过失，失误"
"dilemma","n.左右为难;困境"
"trifle with sb.","不重视；随便对待；当儿戏"
"avocation","n.业余爱好；嗜好"
"harass","vt.侵扰；搔扰；不断攻击（敌人）"
"persecute","vt.（宗教或者政治的）迫害
~ sb. for sth."
"skyrocket","vi.突升，猛涨
the price of sugar has suddenly ~ed up."
"abduct","vt.劫持；诱拐
n.绑架者，拐骗者，劫持者
The kid was ~ed at the gate of kindergarten."
"scalpel","n.外科手术刀
to invent the new laser ~"
"barn","n.仓房；牲口棚；简陋的大建筑
The big building is a ~ for keeping the grain."
"prose","n.散文
vt.用散文写
This is a page of well-written ~."
"bounce off","试探（某人对某一心得设想和意见）；大发议论"
"incongruent","a.不一致的；不同余的"
"congruence","n.适合，一致，全等"
"octave","n.八度音
Her voice went down an ~."
"brush","n.刷子；画笔；毛笔；小冲突，小摩擦；灌木丛
v.刷 ~ after each meal."
"bursh up on","温习，复习
 ~ your calculus before the exam"
"strand","n.股，缕
She tucked a loose ~ of hair behind her ears."
"lunula","n.新月形的东西"
"waddle","vi.(象鸭子一样)摇摇摆摆的走 
A family of ducks ~ed along the river bank.
n.蹒跚，摇摆的步子
ad.摇摇摆摆的"
"wade","v.走过，（从水，泥等）Quniee ~s the stream first."
"wading bird","n.涉水鸟，涉禽"
"crane","n.鹤；起重机，吊车
v.伸长，探头
The child at the back ~ed forward to see what was happing."
"wayward","n.任性的；刚愎自用的
She could be ~, petulant, and disagreeable."
"cram","vt.塞入，填塞；
vi.为考试死记硬背
She's ~ing for her history exam."
"kaleidoscope","n.万花筒
The city is a ~ of colors, smells, and sounds."
"pull up","停车，停止
The car ~ outside the inn."
"tenor","n.男高音
We persuaded Jake to sing ~.
n.大意，方向
The ~ of his speech was that war would come."
"foray","n.突袭，袭击；从事非本行的短暂尝试活动
an actor's ~ into politics.
first ~; overseas ~
vi.(为了掠夺而)进行突袭"
"lump","n.块；肿块
There is a ~ in his neck.
vi.结成块
This oatmeal lumps if you don't stir it well."
"a lump in the throat","(尤指因悲伤)哽咽"
"corvette","n.轻巡洋舰"
"angelic","a.天使的；天国的；天使般的
She cracked an ~ smile."
"choir","n.唱诗班；公开表演的合唱团
The church ~ is singing tonight.
n.(教堂)唱经楼，唱诗席"
"chorus","n.副歌
Sing the last ~ again.
n.合唱，合唱队
Never before have I heard this song sung in ~."
"retention","n.具有，具备，享有，享用"
"superstition","n.迷信，迷信行为
It's common ~ that black cats are unlucky."
"superstitious","a.迷信的"
"fetish","n.神物；被盲目崇拜之物，迷恋物
n.盲目崇拜者
a.盲目崇拜的"
"chuckle","vi.轻声的笑，低声轻笑
I could hear him ~ing to himself as he read his book."
"giggle","n.咯咯的笑，傻笑
vi.咯咯的笑"
"disgusting","a.令人作呕的，令人厌恶的
What a ~ smell!"
"estate","n.住宅区，工业区，工厂区
An industrial ~ will help to promote the business of that city.
n.个人财产，遗产"
"moat","n.护城河，壕沟"
"at a profit","获利，赚钱；sell ~"
"repay","vt.偿还，付还；
He ~ed the money he had borrowed.
vt.报答，酬报
I must ~ her for her kindness."
"despise","vt.鄙视，看不起某人（某事）
Honest boys ~ lies and liars."
"bribable","a.可贿赂的，可收买的"
"bribe","n.贿赂
The judge rejected a ~ from the defendant's family.
v.行贿，向某人行贿"
"allowance","n.津贴，补助，零用钱"
"embroidery","n.刺绣，刺绣品"
"cross-stitch","十字绣"
"parliament","n.议会，国会"
"House of Commons","n.下议院"
"vertebrate","n.脊椎动物"
"lucrative","a.获利多的，赚钱的
She has a ~ business selling leather goods."
"escalate","v.(使)逐步升级，扩大
The government ~ the war by starting to bomb enemy cities.
v.更高，更大
The cost of living is ~ing."
"applause","n.热烈鼓掌，喝彩"
"applaud","vt.鼓掌
The audience warmly ~ed when the performance came to the end.
vt.赞许，称赞
They ~ed Jack for his courage."
"pulp","n.果肉"
"fragrant","a.芳香的，香的"
"cushion","n.垫子，坐垫"
"cursive","a.潦草的，草书的
n.草书"
"wear out","穿坏，穿破"
"sack","vt.解雇"
"apron","n.围裙"
"apron string","n.裙带"
